datetime,value
2020-05-01 01:34:50,27.0
2020-05-01 02:18:42,28.0
2020-05-01 03:38:15,29.0
2020-05-01 03:40:15,28.0
2020-05-01 03:48:15,29.0
2020-05-01 03:49:15,28.0
2020-05-01 03:50:15,29.0
2020-05-01 04:52:18,30.0
2020-05-01 05:42:29,31.0
2020-05-01 05:43:29,30.0
2020-05-01 05:46:30,31.0
2020-05-01 05:51:30,30.0
2020-05-01 05:54:30,31.0
2020-05-01 06:00:30,30.0
2020-05-01 06:01:30,31.0
2020-05-01 06:10:30,30.0
2020-05-01 06:11:30,31.0
2020-05-01 06:20:31,30.0
2020-05-01 06:21:31,31.0
2020-05-01 06:22:31,30.0
2020-05-01 06:23:31,31.0
2020-05-01 06:35:31,30.0
2020-05-01 06:54:32,31.0
2020-05-01 07:39:04,33.0
2020-05-01 07:39:14,31.0
2020-05-01 07:40:04,33.0
2020-05-01 07:40:14,31.0
2020-05-01 07:43:14,33.0
2020-05-01 07:44:34,31.0
2020-05-01 07:45:04,33.0
2020-05-01 07:47:44,31.0
2020-05-01 07:48:14,33.0
2020-05-01 07:48:34,31.0
2020-05-01 07:49:44,33.0
2020-05-01 07:50:14,31.0
2020-05-01 07:51:14,33.0
2020-05-01 07:51:34,31.0
2020-05-01 07:54:04,33.0
2020-05-01 07:54:14,31.0
2020-05-01 07:55:14,33.0
2020-05-01 07:55:44,31.0
2020-05-01 08:02:05,33.0
2020-05-01 08:03:05,31.0
2020-05-01 08:03:35,33.0
2020-05-01 08:03:45,31.0
2020-05-01 08:04:35,33.0
2020-05-01 08:05:05,31.0
2020-05-01 08:05:15,33.0
2020-05-01 08:06:35,31.0
2020-05-01 08:06:45,33.0
2020-05-01 08:09:35,31.0
2020-05-01 08:10:15,33.0
2020-05-01 08:11:05,31.0
2020-05-01 08:15:35,33.0
2020-05-01 08:16:05,31.0
2020-05-01 08:17:45,33.0
2020-05-01 08:32:16,31.0
2020-05-01 08:32:36,33.0
2020-05-01 08:34:06,31.0
2020-05-01 08:34:36,33.0
2020-05-01 08:35:06,31.0
2020-05-01 08:35:16,33.0
2020-05-01 09:09:17,34.0
2020-05-01 09:10:17,33.0
2020-05-01 09:16:18,34.0
2020-05-01 09:18:18,33.0
2020-05-01 09:20:18,34.0
2020-05-01 09:21:18,33.0
2020-05-01 09:29:18,34.0
2020-05-01 09:30:18,33.0
2020-05-01 09:55:19,34.0
2020-05-01 09:57:19,33.0
2020-05-01 10:27:20,34.0
2020-05-01 12:23:34,31.0
2020-05-01 12:24:04,33.0
2020-05-01 12:24:34,31.0
2020-05-01 12:26:04,33.0
2020-05-01 12:27:44,31.0
2020-05-01 12:28:34,33.0
2020-05-01 12:28:44,31.0
2020-05-01 12:30:14,33.0
2020-05-01 12:31:14,31.0
2020-05-01 12:32:34,33.0
2020-05-01 12:32:45,31.0
2020-05-01 12:33:04,33.0
2020-05-01 12:33:15,31.0
2020-05-01 12:34:35,33.0
2020-05-01 12:36:05,31.0
2020-05-01 12:39:05,33.0
2020-05-01 12:39:35,31.0
2020-05-01 12:40:05,33.0
2020-05-01 12:44:05,34.0
2020-05-01 12:47:05,33.0
2020-05-01 12:50:05,34.0
2020-05-01 14:18:18,35.0
2020-05-01 15:26:21,36.0
2020-05-01 15:27:21,35.0
2020-05-01 15:29:21,36.0
2020-05-01 15:30:21,35.0
2020-05-01 15:56:22,36.0
2020-05-01 15:58:22,35.0
2020-05-01 17:08:24,36.0
2020-05-01 17:09:24,35.0
2020-05-01 17:18:25,36.0
2020-05-01 17:21:25,35.0
2020-05-01 17:25:25,36.0
2020-05-01 18:11:17,35.0
